"feature","frequency","rank","docfreq","group"
"million",177,235,130,"all"
"tell",176,237,166,"all"
"i've",175,238,144,"all"
"pretty",175,238,166,"all"
"real",175,238,157,"all"
"actually",174,241,166,"all"
"second",174,241,164,"all"
"making",173,243,168,"all"
"found",173,243,164,"all"
"took",172,245,161,"all"
"having",171,246,165,"all"
"different",171,246,152,"all"
"looking",170,248,169,"all"
"didn't",170,248,159,"all"
"bit",169,250,152,"all"
"already",168,251,164,"all"
"children",168,251,135,"all"
"everyone",167,253,156,"all"
"u",167,253,140,"all"
"morning",165,255,157,"all"
"called",164,256,154,"all"
"lol",164,256,163,"all"
"food",163,258,135,"all"
"believe",163,258,153,"all"
"four",162,260,152,"all"
"yet",161,261,156,"all"
"story",161,261,145,"all"
"makes",160,263,156,"all"
"business",160,263,149,"all"
"county",157,265,136,"all"
"thought",157,265,147,"all"
"ago",157,265,156,"all"
"must",157,265,147,"all"
"company",156,269,142,"all"
"top",155,270,144,"all"
"police",155,270,130,"all"
"bad",154,272,140,"all"
"least",154,272,153,"all"
"call",154,272,146,"all"
"free",154,272,139,"all"
"room",152,276,137,"all"
"fun",151,277,142,"all"
"friends",151,277,138,"all"
"you're",151,277,137,"all"
"percent",151,277,110,"all"
"together",150,281,141,"all"
"including",150,281,145,"all"
"point",150,281,142,"all"
"past",149,284,142,"all"
"public",149,284,135,"all"
"job",148,286,138,"all"
"group",148,286,136,"all"
"started",148,286,134,"all"
"far",148,286,145,"all"
"able",148,286,134,"all"
"trying",147,291,144,"all"
"nothing",147,291,138,"all"
"follow",146,293,139,"all"
"anything",145,294,138,"all"
"he's",145,294,124,"all"
"live",145,294,137,"all"
"yes",145,294,136,"all"
"everything",144,298,131,"all"
"win",144,298,135,"all"
"head",143,300,139,"all"
"run",143,300,131,"all"
"white",143,300,124,"all"
"someone",142,303,138,"all"
"case",141,304,135,"all"
"however",140,305,135,"all"
"kids",139,306,115,"all"
"name",139,306,123,"all"
"fact",139,306,131,"all"
"wanted",139,306,125,"all"
"often",138,310,135,"all"
"weekend",138,310,128,"all"
"oh",138,310,134,"all"
"myself",137,313,123,"all"
"small",137,313,133,"all"
"kind",136,315,125,"all"
"doesn't",136,315,131,"all"
"course",136,315,127,"all"
"heart",136,315,125,"all"
"open",136,315,129,"all"
"maybe",135,320,122,"all"
"others",135,320,128,"all"
"seen",134,322,130,"all"
"blog",134,322,108,"all"
"post",134,322,117,"all"
"months",133,325,127,"all"
"person",133,325,127,"all"
"minutes",133,325,110,"all"
"change",132,328,126,"all"
